,Set_1_A,MA_A,MB_A,Set_2_A,ATname_A,com_name_A,com_names_A,gene_fam_size_A,med_exp_level_A,max_exp_level_A,sim1_paralog_ks_A,ka_ks_evolve_rate_A,sim2_paralogs_max_perID_A,GO slimes_A,GO terms_A,Set_1_B,MA_B,MB_B,Set_2_B,ATname_B,com_name_B,com_names_B,gene_fam_size_B,med_exp_level_B,max_exp_level_B,sim1_paralog_ks_B,ka_ks_evolve_rate_B,sim2_paralogs_max_perID_B,GO slimes_B,GO terms_B,gene_fam_size_C,sim1_paralog_ks_C,med_exp_ratio_A/B,max_exp_ratio_A/B
47,86,AT1G24150,AT1G70140,86,AT1G24150,atfh4,"atfh4,fh4",9.0,66.57044048,498.0616032,1.1198,0.145472406,64.46,"['other cellular processes', 'response to external stimulus', 'response to biotic stimulus', 'protein binding', 'other cellular components', 'plasma membrane', 'response to stress', 'other binding', 'chloroplast', 'cellular component organization', 'extracellular region']","['plasmodesma', 'actin filament binding', 'plasma membrane', 'extracellular region', 'actin nucleation', 'haustorium', 'protein binding', 'actin binding', 'actin filament polymerization', 'defense response by cell wall thickening', 'defense response to fungus', 'actin binding', 'chloroplast']",86,AT1G24150,AT1G70140,86,AT1G70140,atfh8,"atfh8,fh8",9.0,41.50781226,1023.732167,1.1287,0.144502525,71.43,"['other cellular processes', 'cell growth', 'protein binding', 'other cellular components', 'anatomical structure development', 'other binding', 'growth', 'cellular component organization', 'extracellular region']","['extracellular region', 'profilin binding', 'actin filament binding', 'actin nucleation', 'plasmodesma', 'actin binding', 'actin binding', 'cell tip growth']",9.0,,1.6038050876546004,0.48651553526890395
48,88,AT1G23190,AT1G70730,88,AT1G23190,pgm3,pgm3,3.0,829.8390203,3889.362718,0.525,0.103619048,91.07,"['response to chemical', 'carbohydrate metabolic process', 'plasma membrane', 'catalytic activity', 'multicellular organism development', 'cytosol', 'nucleus', 'cytoplasm']","['cytoplasm', 'gametophyte development', 'cytosol', 'nucleus', 'cytosol', 'phosphoglucomutase activity', 'phosphoglucomutase activity', 'response to cadmium ion', 'cytosol', 'carbohydrate metabolic process', 'plasma membrane', 'carbohydrate metabolic process', 'cytoplasm']",88,AT1G23190,AT1G70730,88,AT1G70730,pgm2,pgm2,3.0,674.6804929,1679.419397,0.525,0.103619048,91.07,"['carbohydrate metabolic process', 'plasma membrane', 'catalytic activity', 'multicellular organism development', 'cytosol', 'cytoplasm', 'mitochondrion', 'chloroplast']","['mitochondrion', 'cytoplasm', 'carbohydrate metabolic process', 'chloroplast', 'cytosol', 'gametophyte development', 'plasma membrane', 'cytosol', 'phosphoglucomutase activity', 'cytosol', 'carbohydrate metabolic process', 'phosphoglucomutase activity', 'chloroplast']",3.0,0.525,1.229973341504328,2.315897223140147
49,89,AT1G23080,AT1G70940,89,AT1G23080,atpin7,"atpin7,pin7",8.0,189.3632971,1345.911217,1.4972,0.050828213,84.47,"['endoplasmic reticulum', 'other cellular processes', 'response to chemical', 'reproduction', 'cell communication', 'response to endogenous stimulus', 'embryo development', 'plasma membrane', 'transporter activity', 'anatomical structure development', 'signal transduction', 'other cellular components', 'multicellular organism development', 'nucleus', 'response to abiotic stimulus', 'transport', 'post-embryonic development']","['longitudinal axis specification', 'endoplasmic reticulum', 'nucleus', 'plasma membrane', 'auxin polar transport', 'auxin export across the plasma membrane', 'root development', 'auxin polar transport', 'cellular response to alkaline pH', 'auxin efflux transmembrane transporter activity', 'auxin efflux transmembrane transporter activity', 'plasma membrane', 'plasmodesma', 'pattern specification process']",89,AT1G23080,AT1G70940,89,AT1G70940,atpin3,"atpin3,pin3",8.0,385.103419,1605.630954,1.4972,0.050828213,84.47,"['response to chemical', 'cell communication', 'response to light stimulus', 'tropism', 'anatomical structure development', 'signal transduction', 'other membranes', 'growth', 'response to abiotic stimulus', 'plasma membrane', 'transporter activity', 'cell growth', 'transport', 'other cellular processes', 'endoplasmic reticulum', 'response to endogenous stimulus', 'other cellular components', 'multicellular organism development', 'mitochondrion', 'cell differentiation']","['auxin polar transport', 'root development', 'pattern specification process', 'cellular response to alkaline pH', 'plasma membrane', 'lateral plasma membrane', 'response to light stimulus', 'root development', 'tropism', 'regulation of root meristem growth', 'auxin polar transport', 'endoplasmic reticulum', 'root hair initiation', 'mitochondrion', 'auxin polar transport', 'positive gravitropism', 'auxin efflux transmembrane transporter activity', 'root hair elongation', 'auxin efflux transmembrane transporter activity', 'gravitropism', 'plasma membrane', 'plasma membrane', 'auxin export across the plasma membrane', 'cell surface', 'auxin export across the plasma membrane', 'vesicle membrane']",8.0,1.4972,0.49172063336056754,0.8382444382048205
50,94,AT2G25220,AT4G32000,94,AT2G25220,AT2G25220,at2g25220,330.0,22.10823759,210.1059533,0.726,0.165289256,73.68,"['other cellular processes', 'other metabolic processes', 'plasma membrane', 'mitochondrion', 'chloroplast', 'unknown molecular functions', 'extracellular region']","['extracellular region', 'chloroplast', 'molecular_function_unknown', 'protein phosphorylation', 'plasma membrane', 'mitochondrion', 'phosphorylation']",94,AT2G25220,AT4G32000,94,AT4G32000,AT4G32000,at4g32000,,,,,,,"['other cellular processes', 'other metabolic processes', 'response to light stimulus', 'biosynthetic process', 'secondary metabolic process', 'nucleobase-containing compound metabolic process', 'unknown cellular components', 'unknown molecular functions']","['cellular_component_unknown', 'macromolecule biosynthetic process', 'aromatic compound biosynthetic process', 'molecular_function_unknown', 'protein phosphorylation', 'secondary metabolite biosynthetic process', 'organic cyclic compound biosynthetic process', 'regulation of RNA metabolic process', 'regulation of cellular biosynthetic process', 'response to light stimulus', 'phosphorylation']",,,,
51,97,AT3G11850,AT5G06560,97,AT3G11850,AT3G11850,at3g11850,3.0,65.28507366,3950.536156,0.7503,0.281220845,62.68,"['other cellular processes', 'response to chemical', 'reproduction', 'other biological processes', 'pollination', 'response to light stimulus', 'protein binding', 'anatomical structure development', 'growth', 'nucleus', 'cell growth', 'cell differentiation']","['pollen tube growth', 'response to red or far red light', 'developmental growth', 'regulation of reproductive process', 'regulation of multicellular organismal process', 'nucleus', 'cell differentiation', 'nucleus', 'protein binding', 'regulation of developmental growth', 'response to lipid']",97,AT3G11850,AT5G06560,97,AT5G06560,AT5G06560,at5g06560,3.0,293.9556905,4039.773468,0.7503,0.281220845,64.39,"['response to chemical', 'other metabolic processes', 'response to biotic stimulus', 'response to light stimulus', 'anatomical structure development', 'other membranes', 'signal transduction', 'other intracellular components', 'cytoplasm', 'response to external stimulus', 'reproduction', 'response to stress', 'nucleus', 'post-embryonic development', 'other cellular processes', 'response to endogenous stimulus', 'protein binding', 'multicellular organism development', 'nucleobase-containing compound metabolic process']","['nucleus', 'membrane', 'response to light stimulus', 'defense response to fungus', 'cellular response to hormone stimulus', 'myosin binding', 'macromolecule modification', 'RNA metabolic process', 'myosin XI tail binding', 'photoperiodism, flowering', 'signal transduction', 'transport vesicle', 'regulation of post-embryonic development']",3.0,0.7503,0.22209154566443065,0.9779103178168603
52,100,AT5G07660,AT5G61460,100,AT5G07660,smc6a,smc6a,3.0,23.59693052,277.1181489,0.5376,0.30171131,73.93,"['other cellular processes', 'DNA metabolic process', 'response to stress', 'cell cycle', 'other intracellular components', 'nucleus', 'DNA binding', 'response to abiotic stimulus', 'cellular component organization']","['double-strand break repair via homologous recombination', 'nucleus', 'damaged DNA binding', 'single-stranded DNA binding', 'sister chromatid cohesion', 'site of double-strand break', 'nucleus', 'double-strand break repair via homologous recombination', 'response to X-ray', 'Smc5-Smc6 complex']",100,AT5G07660,AT5G61460,100,AT5G61460,atrad18,"atrad18,mim,smc6b",3.0,62.26389675,233.2216188,0.5376,0.30171131,73.93,"['other cellular processes', 'DNA metabolic process', 'response to stress', 'other intracellular components', 'cell cycle', 'hydrolase activity', 'DNA binding', 'response to abiotic stimulus', 'nucleus', 'cellular component organization']","['Smc5-Smc6 complex', 'double-strand break repair via homologous recombination', 'response to X-ray', 'single-stranded DNA binding', 'nucleus', 'sister chromatid cohesion', 'double-strand break repair', 'site of double-strand break', 'double-strand break repair via homologous recombination', 'damaged DNA binding', 'ATP hydrolysis activity', 'nucleus']",3.0,0.5376,0.3789825525174828,1.1882181005597239
53,103,AT1G20910,AT1G76510,103,AT1G20910,AT1G20910,at1g20910,3.0,99.32472939,269.6270072,0.5521,0.403368955,59.78,"['other cellular processes', 'other metabolic processes', 'protein binding', 'nucleobase-containing compound metabolic process', 'biosynthetic process', 'nucleus', 'DNA binding', 'nucleoplasm', 'secondary metabolic process', 'nucleic acid binding']","['minor groove of adenine-thymine-rich DNA binding', 'histone deacetylase complex', 'transcription cis-regulatory region binding', 'DNA binding', 'protein binding', 'regulation of transcription by RNA polymerase II', 'glucosinolate metabolic process', 'nucleus', 'nucleus', 'transcription cis-regulatory region binding', 'protein binding', 'transcription cis-regulatory region binding', 'nucleus', 'transcription cis-regulatory region binding']",103,AT1G20910,AT1G76510,103,AT1G76510,AT1G76510,at1g76510,3.0,179.0490622,408.1092562,0.5521,0.403368955,59.78,"['other cellular processes', 'other metabolic processes', 'protein binding', 'DNA-binding transcription factor activity', 'nucleobase-containing compound metabolic process', 'biosynthetic process', 'DNA binding', 'nucleus', 'nucleoplasm', 'nucleic acid binding']","['histone deacetylase complex', 'transcription cis-regulatory region binding', 'DNA binding', 'nucleus', 'nucleus', 'nucleus', 'DNA-binding transcription factor activity', 'nucleus', 'transcription cis-regulatory region binding', 'transcription cis-regulatory region binding', 'nucleus', 'protein binding', 'regulation of transcription by RNA polymerase II', 'transcription cis-regulatory region binding', 'regulation of DNA-templated transcription']",3.0,0.5521,0.5547347088534486,0.660673589495518
54,105,AT1G14660,AT2G01980,105,AT1G14660,atnhx8,"atnhx8,nhx8",2.0,26.16467626,108.0335376,0.7223,0.21805344,74.93,"['other cellular processes', 'cellular homeostasis', 'plasma membrane', 'transporter activity', 'chloroplast', 'transport']","['lithium ion transport', 'sodium:proton antiporter activity', 'plasma membrane', 'plasma membrane', 'sodium ion import across plasma membrane', 'chloroplast', 'potassium ion transmembrane transport', 'regulation of intracellular pH', 'sodium:proton antiporter activity', 'lithium ion export across the plasma membrane', 'lithium:proton antiporter activity', 'plasma membrane', 'potassium:proton antiporter activity']",105,AT1G14660,AT2G01980,105,AT2G01980,atnhx7,"atnhx7,atsos1,sos1",2.0,136.3355081,377.9699845,0.7302,0.217200767,74.93,"['response to chemical', 'other cellular processes', 'other metabolic processes', 'cellular homeostasis', 'protein binding', 'plasma membrane', 'transporter activity', 'response to stress', 'other intracellular components', 'plastid', 'response to abiotic stimulus', 'chloroplast', 'transport']","['response to salt stress', 'response to hydrogen peroxide', 'plasma membrane', 'protein binding', 'response to hydrogen peroxide', 'regulation of intracellular pH', 'plasma membrane', 'response to salt stress', 'plasma membrane', 'sodium ion import across plasma membrane', 'sodium ion transport', 'potassium ion transmembrane transport', 'response to oxidative stress', 'sodium:proton antiporter activity', 'response to salt stress', 'potassium ion transmembrane transport', 'plasma membrane', 'chloroplast envelope', 'sodium:proton antiporter activity', 'protein binding', 'plasma membrane', 'response to reactive oxygen species', 'potassium:proton antiporter activity', 'regulation of reactive oxygen species metabolic process']",2.0,,0.1919138794040993,0.2858257058240031
55,106,AT1G10050,AT1G58370,106,AT1G10050,AT1G10050,at1g10050,11.0,50.38421534,248.6676461,1.3626,0.212167914,61.35,"['other cellular processes', 'carbohydrate metabolic process', 'catabolic process', 'other metabolic processes', 'response to chemical', 'other biological processes', 'protein metabolic process', 'signal transduction', 'response to stress', 'cell cycle', 'multicellular organism development', 'hydrolase activity', 'anatomical structure development', 'response to abiotic stimulus', 'extracellular region']","['extracellular region', 'xylan catabolic process', 'signal transduction', 'response to temperature stimulus', 'extracellular region', 'response to salt stress', 'protein metabolic process', 'cell cycle', 'cellular response to lipid', 'endo-1,4-beta-xylanase activity', 'extracellular region', 'cellular response to oxygen-containing compound', 'root development', 'protein localization']",106,AT1G10050,AT1G58370,106,AT1G58370,atxyn1,"atxyn1,rxf12",11.0,101.6471411,1770.396403,1.3626,0.212167914,69.22,"['other cellular processes', 'carbohydrate metabolic process', 'other metabolic processes', 'catabolic process', 'cell wall', 'hydrolase activity', 'extracellular region']","['extracellular region', 'endo-1,4-beta-xylanase activity', 'endo-1,4-beta-xylanase activity', 'extracellular region', 'plant-type cell wall', 'xylan catabolic process', 'plant-type cell wall']",11.0,1.3626,0.49567764321509283,0.14045873888956384
56,107,AT2G25850,AT4G32850,107,AT2G25850,paps2,paps2,4.0,178.8522521,394.6747467,0.5823,0.252618925,71.55,"['other metabolic processes', 'protein binding', 'nucleobase-containing compound metabolic process', 'nucleus', 'RNA binding', 'transferase activity']","[""RNA 3'-end processing"", 'nucleus', 'protein binding', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'mRNA polyadenylation', 'nucleus', 'protein binding', 'nucleus', 'nucleus', 'nucleus', 'protein binding', 'protein binding', 'nucleus', 'nucleus', 'poly(A) RNA polymerase activity', 'RNA binding']",107,AT2G25850,AT4G32850,107,AT4G32850,npap,"npap,pap(iv),paps4",4.0,410.6645331,1143.171928,0.5823,0.252618925,71.55,"['other metabolic processes', 'protein binding', 'nucleobase-containing compound metabolic process', 'nucleus', 'RNA binding', 'transferase activity']","['RNA binding', 'nucleus', 'nucleus', 'poly(A) RNA polymerase activity', 'nucleus', 'mRNA polyadenylation', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'protein binding', 'nucleus', 'nucleus', 'protein binding', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'protein binding', 'nucleus']",4.0,0.5823,0.4355191103304947,0.3452453100300413
57,110,AT5G07830,AT5G61250,110,AT5G07830,atgus2,"atgus2,gus2",3.0,423.0310311,5004.109175,0.7934,0.220065541,72.74,"['cell wall', 'plasma membrane', 'anatomical structure development', 'hydrolase activity', 'growth', 'cell growth', 'extracellular region']","['beta-glucuronidase activity', 'plant-type cell wall', 'unidimensional cell growth', 'beta-glucuronidase activity', 'plant-type cell wall', 'extracellular region', 'beta-glucuronidase activity', 'plasma membrane']",110,AT5G07830,AT5G61250,110,AT5G61250,atgus1,"atgus1,gus1",3.0,30.48704181,278.1780198,0.7934,0.220065541,72.74,"['hydrolase activity', 'extracellular region']","['extracellular region', 'extracellular region', 'beta-glucuronidase activity', 'beta-glucuronidase activity', 'extracellular region']",3.0,0.7934,13.875765111498694,17.988873378988657
58,112,AT3G43600,AT5G20960,112,AT3G43600,aao2,"aao2,ao3,aogamma,atao-2,atao3",10.0,86.89427819,736.7961323,1.573,0.162110617,96.43,"['catalytic activity', 'chloroplast']","['aldehyde oxidase activity', 'aldehyde oxidase activity', 'chloroplast']",112,AT3G43600,AT5G20960,112,AT5G20960,aao1,"aao1,ao1,aoalpha,atao,atao1,at-ao1",10.0,56.90926861,3048.181641,1.573,0.162110617,74.47,"['other cellular processes', 'other metabolic processes', 'catalytic activity', 'plastid', 'biosynthetic process']","['plastid', 'indole-3-acetaldehyde oxidase activity', 'aldehyde oxidase activity', 'auxin biosynthetic process', 'aldehyde oxidase activity']",10.0,1.573,1.5268914943449314,0.24171660979438328
59,114,AT1G09550,AT1G57590,114,AT1G09550,AT1G09550,at1g09550,12.0,17.68225202,2133.015775,1.5417,0.160342479,64.5,"['other cellular processes', 'cell wall', 'hydrolase activity', 'cellular component organization', 'extracellular region']","['plant-type cell wall', 'pectin acetylesterase activity', 'cell wall organization', 'extracellular region']",114,AT1G09550,AT1G57590,114,AT1G57590,AT1G57590,at1g57590,12.0,39.97462162,1059.495173,2.6094,0.084847091,67.63,"['other cellular processes', 'cell wall', 'hydrolase activity', 'cellular component organization', 'extracellular region']","['pectin acetylesterase activity', 'extracellular region', 'plant-type cell wall', 'cell wall organization']",12.0,,0.44233694537719553,2.0132378413393677
60,115,AT1G12010,AT1G62380,115,AT1G12010,AT1G12010,at1g12010,99.0,21.63786638,10995.16078,0.8365,0.096951584,85.0,"['other cellular processes', 'other metabolic processes', 'response to chemical', 'other intracellular components', 'catalytic activity', 'biosynthetic process', 'cytoplasm', 'cytosol']","['cytosol', 'cytoplasm', 'ethylene biosynthetic process', 'ethylene biosynthetic process', '2-oxoglutarate-dependent dioxygenase activity', '1-aminocyclopropane-1-carboxylate oxidase activity', 'cellular response to fatty acid', '1-aminocyclopropane-1-carboxylate oxidase activity', 'cytoplasmic stress granule']",115,AT1G12010,AT1G62380,115,AT1G62380,aco2,"aco2,ataco2",99.0,1548.982067,11963.97782,0.8365,0.096951584,85.0,"['response to chemical', 'other metabolic processes', 'other intracellular components', 'cytoplasm', 'cell wall', 'plasma membrane', 'response to stress', 'catalytic activity', 'nucleus', 'cytosol', 'Golgi apparatus', 'biosynthetic process', 'post-embryonic development', 'other cellular processes', 'endoplasmic reticulum', 'response to endogenous stimulus', 'other cellular components', 'multicellular organism development', 'other binding']","['cytoplasm', 'positive regulation of seed germination', 'Golgi apparatus', '2-oxoglutarate-dependent dioxygenase activity', 'cellular response to fatty acid', 'endoplasmic reticulum', 'plasmodesma', 'ethylene biosynthetic process', 'ethylene biosynthetic process', 'plasma membrane', 'nucleus', '1-aminocyclopropane-1-carboxylate oxidase activity', 'cellular response to nitric oxide', 'cytosol', 'detection of ethylene stimulus', 'plant-type cell wall', 'copper ion binding', 'cytoplasmic stress granule', 'Golgi apparatus']",99.0,0.8365,0.013969087726049188,0.9190221634830814
61,118,AT1G25460,AT1G68540,118,AT1G25460,AT1G25460,at1g25460,26.0,4.610205813,45.34264091,2.2363,0.075615973,72.27,"['other cellular processes', 'other metabolic processes', 'anatomical structure development', 'catalytic activity', 'multicellular organism development', 'biosynthetic process', 'unknown cellular components']","['regulation of gene expression', 'cellular_component_unknown', 'shoot system development', 'oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'cellular nitrogen compound biosynthetic process']",118,AT1G25460,AT1G68540,118,AT1G68540,ccrl6,"ccrl6,tkpr2",26.0,135.5530827,4855.981365,2.2363,0.075615973,72.27,"['other cellular processes', 'other metabolic processes', 'anatomical structure development', 'catalytic activity', 'multicellular organism development', 'biosynthetic process', 'cytosol', 'chloroplast', 'cellular component organization']","['cytosol', 'chloroplast', 'pollen exine formation', 'sporopollenin biosynthetic process', 'oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor']",26.0,2.2363,0.03401033544329715,0.009337482478168449
62,120,AT1G23880,AT1G70280,120,AT1G23880,AT1G23880,at1g23880,8.0,43.02268104,85.32027325,0.8094,0.168519891,72.14,"['response to chemical', 'other metabolic processes', 'other cellular processes', 'other cellular components', 'biosynthetic process', 'nucleus', 'unknown molecular functions', 'extracellular region']","['response to lipid', 'plasmodesma', 'nucleus', 'extracellular region', 'small molecule metabolic process', 'macromolecule biosynthetic process', 'cellular response to organic cyclic compound', 'plant-type cell wall biogenesis', 'response to organic cyclic compound', 'molecular_function_unknown']",120,AT1G23880,AT1G70280,120,AT1G70280,AT1G70280,at1g70280,8.0,237.698086,623.707174,0.8094,0.168519891,71.24,"['other metabolic processes', 'anatomical structure development', 'biosynthetic process', 'nucleus', 'unknown molecular functions', 'extracellular region']","['extracellular region', 'molecular_function_unknown', 'nucleus', 'meristem development', 'macromolecule biosynthetic process']",8.0,0.8094,0.18099717067137008,0.13679540144266483
63,121,AT1G23340,AT1G70550,121,AT1G23340,AT1G23340,at1g23340,49.0,54.50504014,125.8843,0.9941,0.110854039,85.07,"['other metabolic processes', 'reproduction', 'embryo development', 'anatomical structure development', 'multicellular organism development', 'biosynthetic process', 'secondary metabolic process', 'chloroplast', 'unknown molecular functions', 'extracellular region', 'post-embryonic development']","['leaf development', 'macromolecule biosynthetic process', 'chloroplast', 'molecular_function_unknown', 'secondary metabolic process', 'seed development', 'extracellular region', 'embryo development ending in seed dormancy', 'extracellular region']",121,AT1G23340,AT1G70550,121,AT1G70550,AT1G70550,at1g70550,49.0,40.23152414,169.3653729,0.9941,0.110854039,85.07,"['other cellular processes', 'other metabolic processes', 'anatomical structure development', 'multicellular organism development', 'biosynthetic process', 'mitochondrion', 'unknown molecular functions', 'lipid metabolic process']","['small molecule biosynthetic process', 'mitochondrion', 'lipid biosynthetic process', 'xylem and phloem pattern formation', 'mitochondrion', 'shoot system development', 'cell division', 'molecular_function_unknown', 'plant-type secondary cell wall biogenesis', 'macromolecule biosynthetic process']",49.0,0.9941,1.3547843713385104,0.7432705862155604
64,122,AT3G22790,AT4G14760,122,AT3G22790,net1a,net1a,4.0,69.04113705,648.6045553,0.4802,0.408579758,66.72,"['other cellular processes', 'other metabolic processes', 'protein binding', 'plasma membrane', 'other cellular components', 'other binding', 'nucleobase-containing compound metabolic process', 'cytoskeleton']","['actin filament binding', 'actin filament', 'plasma membrane', 'regulation of RNA metabolic process', 'plasma membrane', 'regulation of gene expression', 'plasmodesma', 'actin filament binding', 'positive regulation of macromolecule metabolic process']",122,AT3G22790,AT4G14760,122,AT4G14760,net1b,net1b,4.0,353.3852826,1327.559539,0.4802,0.408579758,66.72,"['other cellular processes', 'other metabolic processes', 'protein binding', 'plasma membrane', 'anatomical structure development', 'other binding', 'biosynthetic process', 'nucleus', 'nucleobase-containing compound metabolic process']","['actin filament binding', 'oxoacid metabolic process', 'nucleus', 'plasma membrane', 'aromatic compound biosynthetic process', 'plant-type cell wall biogenesis', 'positive regulation of nucleobase-containing compound metabolic process', 'organic cyclic compound biosynthetic process', 'macromolecule biosynthetic process', 'tissue development']",4.0,0.4802,0.19537071986143886,0.4885690895555382
65,123,AT4G19970,AT5G44820,123,AT4G19970,AT4G19970,at4g19970,,,,,,,"['response to external stimulus', 'response to biotic stimulus', 'anatomical structure development', 'response to stress', 'cytoplasm', 'unknown molecular functions']","['tissue development', 'cytoplasm', 'defense response to other organism', 'molecular_function_unknown', 'response to oxidative stress']",123,AT4G19970,AT5G44820,123,AT5G44820,AT5G44820,at5g44820,9.0,17.7981897,193.8390871,1.1432,0.140657803,76.44,"['response to chemical', 'other metabolic processes', 'other cellular processes', 'response to external stimulus', 'response to biotic stimulus', 'anatomical structure development', 'response to stress', 'signal transduction', 'multicellular organism development', 'chloroplast', 'unknown molecular functions']","['response to inorganic substance', 'cellular response to oxygen-containing compound', 'carbohydrate derivative metabolic process', 'cellular response to organic cyclic compound', 'cellular response to organic substance', 'leaf development', 'response to organonitrogen compound', 'chloroplast', 'molecular_function_unknown', 'defense response to other organism', 'regulation of defense response', 'signal transduction']",,,,
66,125,AT4G18050,AT5G46540,125,AT4G18050,abcb9,"abcb9,pgp9",31.0,30.86626567,1422.687612,1.2804,0.135192127,72.84,"['other cellular processes', 'transporter activity', 'nucleus', 'cytosol', 'transport']","['cytosol', 'ATPase-coupled transmembrane transporter activity', 'transmembrane transport', 'ATPase-coupled transmembrane transporter activity', 'nucleus']",125,AT4G18050,AT5G46540,125,AT5G46540,abcb7,"abcb7,pgp7",31.0,16.34867094,298.7731176,1.2804,0.135192127,72.84,"['other cellular processes', 'plasma membrane', 'transporter activity', 'plastid', 'transport']","['plasma membrane', 'ATPase-coupled transmembrane transporter activity', 'plastid', 'ATPase-coupled transmembrane transporter activity', 'transmembrane transport']",31.0,1.2804,1.8879984668649767,4.761765795491368
67,133,AT1G18620,AT1G74160,133,AT1G18620,trm3,trm3,4.0,455.4551639,1004.138114,0.692,0.280491329,60.79,"['cellular component organization', 'other cellular processes', 'anatomical structure development', 'nucleus', 'growth', 'unknown molecular functions', 'cell growth']","['nucleus', 'molecular_function_unknown', 'unidimensional cell growth', 'regulation of monopolar cell growth', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'molecular_function_unknown', 'unidimensional cell growth', 'regulation of monopolar cell growth', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'molecular_function_unknown', 'unidimensional cell growth', 'regulation of monopolar cell growth', 'nucleus', 'nucleus', 'nucleus', 'nucleus']",133,AT1G18620,AT1G74160,133,AT1G74160,trm4,trm4,4.0,154.2560109,609.4877819,0.692,0.280491329,61.22,"['other cellular processes', 'cell growth', 'other cellular components', 'anatomical structure development', 'nucleus', 'growth', 'unknown molecular functions', 'cellular component organization']","['nucleus', 'nucleus', 'molecular_function_unknown', 'nucleus', 'regulation of monopolar cell growth', 'plasmodesma', 'unidimensional cell growth', 'nucleus', 'nucleus', 'molecular_function_unknown', 'nucleus', 'regulation of monopolar cell growth', 'plasmodesma', 'unidimensional cell growth', 'nucleus', 'nucleus', 'molecular_function_unknown', 'nucleus', 'regulation of monopolar cell growth', 'plasmodesma', 'unidimensional cell growth']",4.0,0.692,2.9525926493409664,1.6475114740934236
68,133,AT1G18620,AT1G74160,703,AT1G18620,trm3,trm3,4.0,455.4551639,1004.138114,0.692,0.280491329,60.79,"['cellular component organization', 'other cellular processes', 'anatomical structure development', 'nucleus', 'growth', 'unknown molecular functions', 'cell growth']","['nucleus', 'molecular_function_unknown', 'unidimensional cell growth', 'regulation of monopolar cell growth', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'molecular_function_unknown', 'unidimensional cell growth', 'regulation of monopolar cell growth', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'molecular_function_unknown', 'unidimensional cell growth', 'regulation of monopolar cell growth', 'nucleus', 'nucleus', 'nucleus', 'nucleus']",133,AT1G18620,AT1G74160,703,AT1G74160,trm4,trm4,4.0,154.2560109,609.4877819,0.692,0.280491329,61.22,"['other cellular processes', 'cell growth', 'other cellular components', 'anatomical structure development', 'nucleus', 'growth', 'unknown molecular functions', 'cellular component organization']","['nucleus', 'nucleus', 'molecular_function_unknown', 'nucleus', 'regulation of monopolar cell growth', 'plasmodesma', 'unidimensional cell growth', 'nucleus', 'nucleus', 'molecular_function_unknown', 'nucleus', 'regulation of monopolar cell growth', 'plasmodesma', 'unidimensional cell growth', 'nucleus', 'nucleus', 'molecular_function_unknown', 'nucleus', 'regulation of monopolar cell growth', 'plasmodesma', 'unidimensional cell growth']",4.0,0.692,2.9525926493409664,1.6475114740934236
69,133,AT1G18620,AT1G74160,827,AT1G18620,trm3,trm3,4.0,455.4551639,1004.138114,0.692,0.280491329,60.79,"['cellular component organization', 'other cellular processes', 'anatomical structure development', 'nucleus', 'growth', 'unknown molecular functions', 'cell growth']","['nucleus', 'molecular_function_unknown', 'unidimensional cell growth', 'regulation of monopolar cell growth', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'molecular_function_unknown', 'unidimensional cell growth', 'regulation of monopolar cell growth', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'nucleus', 'molecular_function_unknown', 'unidimensional cell growth', 'regulation of monopolar cell growth', 'nucleus', 'nucleus', 'nucleus', 'nucleus']",133,AT1G18620,AT1G74160,827,AT1G74160,trm4,trm4,4.0,154.2560109,609.4877819,0.692,0.280491329,61.22,"['other cellular processes', 'cell growth', 'other cellular components', 'anatomical structure development', 'nucleus', 'growth', 'unknown molecular functions', 'cellular component organization']","['nucleus', 'nucleus', 'molecular_function_unknown', 'nucleus', 'regulation of monopolar cell growth', 'plasmodesma', 'unidimensional cell growth', 'nucleus', 'nucleus', 'molecular_function_unknown', 'nucleus', 'regulation of monopolar cell growth', 'plasmodesma', 'unidimensional cell growth', 'nucleus', 'nucleus', 'molecular_function_unknown', 'nucleus', 'regulation of monopolar cell growth', 'plasmodesma', 'unidimensional cell growth']",4.0,0.692,2.9525926493409664,1.6475114740934236
