locus|CommonName
AT4G08930|APRL6,ATAPRL6
AT4G08950|EXO
AT4G08980|FBW2
AT4G09000|GF14,GRF1
AT4G09010|APX4,TL29
AT4G09020|ATISA3,ISA3
AT4G09030|AGP10,ATAGP10
AT4G09080|ATTOC75-IV,TOC75-IV
AT4G09140|ATMLH1,MLH1
AT4G09180|FBH2
AT4G09320|ATNDK1,NDK1,NDPK1
AT4G09350|CRRJ,DJC75,NdhT
AT4G09460|AtMYB6,MYB6
AT4G09510|A/N-InvI,CINV2
AT4G09550|ATGIP1,GIP1,GIP1a
AT4G09570|ATCPK4,CPK4
AT4G09590|NHL22
AT4G09600|GASA3
AT4G09610|GASA2
AT4G09650|ATPD,PDE332
AT4G09680|ATCTC1,CTC1
AT4G09720|ATRABG3A,RABG3A
AT4G09730|RH39
AT4G09800|RPS18C
AT4G09820|AtTT8,BHLH42,TT8
AT4G09900|ATMES12,MES12
AT4G09960|AGL11,STK
AT4G09980|EMB1691
AT4G09990|GXM2
AT4G10020|AtHSD5,HSD5
AT4G10040|CYTC-2
AT4G10090|ELP6
AT4G10100|CNX7,SIR5
AT4G10120|ATSPS4F
AT4G10180|ATDET1,DET1,FUS2
AT4G10250|ATHSP22.0
AT4G10310|ATHKT1,HKT1,HKT1;1
AT4G10340|LHCB5
AT4G10380|AtNIP5;1,NIP5;1,NLM6,NLM8
AT4G10560|MEE53
AT4G10570|UBP9
AT4G10590|UBP10
AT4G10610|ATRBP37,CID12,RBP37
AT4G10640|IQD16
AT4G10670|GTC2
AT4G10710|SPT16
AT4G10760|EMB1706,MTA
AT4G10770|ATOPT7,OPT7
AT4G10840|KLCR1
AT4G10850|AtSWEET7,SWEET7
AT4G10920|KELP
AT4G10960|UGE5
AT4G11010|NDPK3
AT4G11050|AtGH9C3,GH9C3
AT4G11060|MTSSB
AT4G11070|AtWRKY41,WRKY41
AT4G11080|3xHMG-box1
AT4G11090|TBL23
AT4G11110|SPA2
AT4G11130|RDR2,SMD1
AT4G11140|CRF1
AT4G11150|emb2448,TUF,TUFF,VHA-E1
AT4G11170|RMG1
AT4G11180|DP1
AT4G11220|BTI2,RTNLB2
AT4G11240|TOPP7
AT4G11250|AGL52
AT4G11260|ATSGT1B,EDM1,ETA3,RPR1,SGT1B
AT4G11280|ACS6,ATACS6
AT4G11310|AtCP1,CP1
AT4G11320|AtCP2,CP2
AT4G11330|ATMPK5,MPK5
AT4G11360|RHA1B
AT4G11370|RHA1A
AT4G11420|ATEIF3A-1,ATTIF3A1,EIF3A,EIF3A-1,TIF3A1
AT4G11460|CRK30
AT4G11470|CRK31
AT4G11480|CRK32
AT4G11510|RALFL28
AT4G11530|CRK34
AT4G11600|ATGPX6,GPX6,LSC803,PHGPX
AT4G11640|ATSR,SR
AT4G11650|ATOSM34,OSM34
AT4G11660|AT-HSFB2B,HSF7,HSFB2B
AT4G11720|GCS1,HAP2
AT4G11740|SAY1
AT4G11780|TRM10
AT4G11820|FKP1,HMGS,MVA1
AT4G11830|PLDGAMMA2
AT4G11840|PLDGAMMA3
AT4G11850|MEE54,PLDGAMMA1
AT4G11880|AGL14,XAL2
AT4G11890|ARCK1,CRK45
AT4G11920|CCS52A2,FZR1
AT4G11960|PGRL1B
AT4G11980|ATNUDT14,ATNUDX14,NUDX14
AT4G12020|ATWRKY19,MAPKKK11,MEKK4,WRKY19
AT4G12030|BASS5,BAT5
AT4G12040|AtSAP7,SAP7
AT4G12050|AHL26
AT4G12080|AHL1,ATAHL1
AT4G12110|ATSMO1-1,SMO1-1
AT4G12120|ATSEC1B,SEC1B
AT4G12250|GAE5
AT4G12300|CYP706A4
AT4G12310|CYP706A5
AT4G12320|CYP706A6
AT4G12330|CYP706A7
AT4G12350|AtMYB42,MYB42
AT4G12390|PME1
AT4G12400|Hop3
AT4G12410|SAUR35
AT4G12420|SKU5
AT4G12430|TPPF
AT4G12440|APT4
AT4G12460|ORP2B
AT4G12470|AZI1
AT4G12480|EARLI1,pEARLI
AT4G12550|AIR1
AT4G12560|CPR1,CPR30
AT4G12570|UPL5
AT4G12610|ATRAP74,RAP74
AT4G12620|ATORC1B,ORC1B,UNE13
AT4G12720|AtNUDT7,GFG1,NUDT7
AT4G12730|FLA2
AT4G12800|PSAL
AT4G12880|AtENODL19,ENODL19
AT4G12910|scpl20
AT4G12960|AtGILT,GILT
AT4G12970|EPFL9,STOMAGEN
AT4G13020|MHK
AT4G13195|CLE44
AT4G13235|EDA21
AT4G13250|NYC1
AT4G13260|AtYUC2,YUC2
AT4G13280|ATTPS12,TPS12
AT4G13290|CYP71A19
AT4G13300|ATTPS13,TPS13
AT4G13310|CYP71A20
AT4G13340|LRX3
AT4G13345|MEE55
AT4G13350|NIG
AT4G13390|EXT12
AT4G13395|DVL10,RTFL12
AT4G13410|ATCSLA15,CSLA15
AT4G13420|ATHAK5,HAK5
AT4G13430|ATLEUC1,IIL1
AT4G13460|SDG22,SET22,SUVH9
AT4G13480|AtMYB79,MYB79
AT4G13510|AMT1;1,ATAMT1,ATAMT1;1
AT4G13520|SMAP1
AT4G13560|UNE15
AT4G13570|HTA4
AT4G13640|UNE16
AT4G13660|ATPRR2,PRR2
AT4G13670|PTAC5
AT4G13700|ATPAP23,PAP23
AT4G13750|EMB2597,NOV
AT4G13770|CYP83A1,REF2
AT4G13790|SAUR25
AT4G13810|AtRLP47,RLP47
AT4G13830|DJC26,J20
AT4G13840|CER26
AT4G13850|ATGRP2,GRP2,GR-RBP2
AT4G13870|ATWEX,ATWRNEXO,WEX,WRNEXO
AT4G13880|AtRLP48,RLP48
AT4G13890|EDA36,EDA37,SHM5
AT4G13920|AtRLP50,RLP50
AT4G13930|SHM4
AT4G13940|ATSAHH1,EMB1395,HOG1,MEE58,SAH1,SAHH1
AT4G13950|RALFL31
AT4G13980|AT-HSFA5,HSFA5
AT4G13985|FBD1
AT4G14010|RALFL32
AT4G14030|SBP1
AT4G14040|EDA38,SBP2
AT4G14070|AAE15
AT4G14080|MEE48
AT4G14110|COP9,CSN8,EMB143,FUS7
AT4G14130|XTH15,XTR7
AT4G14140|DMT02,DMT2,MET02,MET2
AT4G14147|ARPC4
AT4G14150|KINESIN-12A,PAKRP1
AT4G14180|AtPRD1,PRD1
AT4G14210|PDE226,PDS,PDS3
AT4G14220|RHF1A
AT4G14340|CKI1,CKL11
AT4G14365|XBAT34
AT4G14400|ACD6
AT4G14410|bHLH104
AT4G14430|ATECI2,ECHIB,ECI2,IBR10,PEC12
AT4G14440|ATECI3,ECI3,HCD1
AT4G14455|ATBET12,ATBS14B,BET12,BS14B
AT4G14465|AHL20
AT4G14510|ATCFM3B,CFM3B
AT4G14540|NF-YB3
AT4G14550|IAA14,SLR
AT4G14560|AXR5,IAA1
AT4G14570|AARE,AtAARE
AT4G14580|CIPK4,SnRK3.3
AT4G14590|emb2739
AT4G14605|MDA1
AT4G14630|GLP9
AT4G14640|AtCML8,CAM8,CML8
AT4G14660|NRPE7
AT4G14670|CLPB2
AT4G14680|APS3
AT4G14690|ELIP2
AT4G14700|ATORC1A,ORC1A
AT4G14710|ATARD2
AT4G14713|PPD1,TIFY4A
AT4G14716|ARD1,ATARD1,SGB3
AT4G14720|PPD2,TIFY4B
AT4G14723|CLL2,EPFL4
AT4G14730|AtLFG1,LFG1
AT4G14750|IQD19
AT4G14760|NET1B
AT4G14770|ATTCX2,TCX2
AT4G14790|ATSUV3,EDA15
AT4G14800|PBD2
AT4G14830|HSP1
AT4G14850|LOI1,MEF11
AT4G14860|AtOFP11,OFP11
AT4G14870|SECE1
AT4G14880|ATCYS-3A,CYTACS1,OASA1,OLD3
AT4G14890|FdC1
AT4G14910|HISN5B
AT4G14940|AO1,ATAO1
AT4G14950|KMS1
AT4G14960|TUA6
AT4G14965|AtMAPR4,MAPR4
AT4G15090|FAR1
AT4G15093|AtLigB,LigB
AT4G15100|scpl30
AT4G15110|CYP97B3
AT4G15130|ATCCT2,CCT2
AT4G15180|ATXR3,SDG2
AT4G15200|AFH3,FH3
AT4G15210|AT-BETA-AMY,ATBETA-AMY,BAM5,BMY1,RAM1
AT4G15215|ABCG41,ATPDR13,PDR13
AT4G15230|ABCG30,ATPDR2,PDR2
AT4G15233|ABCG42
AT4G15236|ABCG43
AT4G15248|BBX30
AT4G15280|UGT71B5
AT4G15290|ATCSLB05,ATCSLB5,CSLB05
AT4G15300|CYP702A2
AT4G15320|ATCSLB06,ATCSLB6,CSLB06
AT4G15330|CYP705A1
AT4G15340|04C11,ATPEN1,PEN1
AT4G15380|CYP705A4
AT4G15393|CYP702A5
AT4G15396|CYP702A6
AT4G15400|ABS1,BIA1
AT4G15410|PUX5
AT4G15415|ATB'
AT4G15417|ATRTL1,RTL1
AT4G15440|CYP74B2,HPL1
AT4G15470|AtLFG5,LFG5
AT4G15480|UGT84A1
AT4G15490|UGT84A3
AT4G15500|UGT84A4
AT4G15510|PPD1
AT4G15530|PPDK
AT4G15540|UMAMIT38
AT4G15550|IAGLU
AT4G15560|AtCLA1,CLA,CLA1,DEF,DXPS2,DXS,DXS1
AT4G15570|MAA3
AT4G15720|REME2
AT4G15760|MO1
AT4G15780|ATVAMP724,VAMP724
AT4G15800|RALFL33
AT4G15802|AtHSBP,HSBP
AT4G15850|ATRH1,RH1
AT4G15880|ATESD4,ESD4
AT4G15900|PRL1
AT4G15910|ATDI21,DI21
AT4G15920|AtSWEET17,SWEET17
AT4G15950|NRPD4,NRPE4,RDM2
AT4G16110|ARR2,RR2
AT4G16120|ATSEB1,COBL7,SEB1
AT4G16130|ARA1,ATISA1,ISA1
AT4G16143|IMPA-2
AT4G16144|AMSH3
AT4G16160|ATOEP16-2,ATOEP16-S
AT4G16210|ECHIA,E-COAH-2
AT4G16250|PHYD
AT4G16265|NRPB9B,NRPD9B,NRPE9B
AT4G16280|FCA
AT4G16310|LDL3
AT4G16340|SPK1
AT4G16350|CBL6,SCABP2
AT4G16370|ATOPT3,OPT3
AT4G16390|SVR7
AT4G16420|ADA2B,PRZ1
AT4G16430|JAM3
AT4G16440|GOLLUM,NAR1
AT4G16480|ATINT4,INT4
AT4G16500|AtCYS4,CYS4
AT4G16515|CLEL,GLV1,RGF6
AT4G16520|ATG8F
AT4G16566|HINT4
AT4G16570|ATPRMT7,PRMT7
AT4G16590|ATCSLA01,ATCSLA1,CSLA01
AT4G16600|PGSIP8
AT4G16620|UMAMIT8
AT4G16690|ATMES16,MES16
AT4G16700|PSD1
AT4G16730|TPS02
AT4G16740|ATTPS03,TPS03
AT4G16760|ACX1,ATACX1
AT4G16780|ATHB2,ATHB-2,HAT4,HB-2
AT4G16820|DALL1,PLA-I{beta]2
AT4G16845|VRN2
AT4G16860|RPP4
AT4G16890|BAL,SNC1
AT4G16950|RPP5
AT4G16990|RLM3
AT4G17030|ATEXLB1,AT-EXPR,ATEXPR1,ATHEXP,EXLB1,EXPR
AT4G17040|CLPR4,HON5
AT4G17050|UGLYAH
AT4G17060|FIP2
AT4G17090|AtBAM3,BAM3,BMY8,CT-BMY
AT4G17160|ATRAB2B,ATRABB1A,RABB1a
AT4G17170|AT-RAB2,ATRAB2A,ATRAB-B1B,ATRABB1C,RAB2A,RAB-B1B,RABB1C
AT4G17190|FPS2
AT4G17220|ATMAP70-5,MAP70-5
AT4G17230|SCL13
AT4G17300|ATNS1,NS1,OVA8
AT4G17330|ATG2484-1,G2484-1
AT4G17340|DELTA-TIP2,TIP2;2
AT4G17380|ATMSH4,MSH4
AT4G17460|HAT1,JAB
AT4G17490|ATERF6,ERF6,ERF-6-6
AT4G17500|ATERF-1,ERF-1
AT4G17510|UCH3
AT4G17530|ATRAB1C,ATRABD2C,RAB1C
AT4G17550|AtG3Pp4,G3Pp4
AT4G17570|GATA26
AT4G17600|LIL3:1
AT4G17615|ATCBL1,CBL1,SCABP5
AT4G17640|CKB2
AT4G17695|KAN3
AT4G17710|HDG4
AT4G17730|ATSYP23,SYP23
AT4G17750|ATHSF1,ATHSFA1A,HSF1,HSFA1A
AT4G17770|ATTPS5,TPS5
AT4G17800|AHL23
AT4G17870|PYR1,RCAR11
AT4G17880|MYC4
AT4G17890|AGD8
AT4G17895|UBP20
AT4G17905|ATL4H
AT4G17950|AHL13
AT4G17970|ALMT12,ATALMT12,QUAC1
AT4G17980|anac071,NAC071
AT4G18010|5PTASE2,AT5PTASE2,IP5PII
AT4G18020|APRR2,PRR2
AT4G18040|AT.EIF4E1,CUM1,EIF4E,eIF4E1
AT4G18050|ABCB9,PGP9
AT4G18120|AML3,ML3
AT4G18130|PHYE
AT4G18140|SSP4b
AT4G18160|ATKCO6,ATTPK3,KCO6,TPK3
AT4G18170|ATWRKY28,WRKY28
AT4G18195|ATPUP8,PUP8
AT4G18197|ATPUP7,PEX17,PUP7
AT4G18210|ATPUP10,PUP10
AT4G18240|ATSS4,SS4,SSIV
AT4G18270|ATTRANS11,TRANS11
AT4G18290|KAT2
AT4G18350|ATNCED2,NCED2
AT4G18360|GOX3
AT4G18370|DEG5,DEGP5,HHOA
AT4G18390|TCP2
AT4G18430|AtRABA1e,RABA1e
AT4G18470|SNI1
AT4G18480|CH42,CH-42,CHL11,CHLI1,CHLI-1
AT4G18510|CLE2
AT4G18520|SEL1
AT4G18550|AtDSEL,DSEL
AT4G18600|ATSCAR-LIKE,SCARL,WAVE5
AT4G18610|LSH9
AT4G18640|MRH1
AT4G18700|ATWL4,CIPK12,PKS8,SnRK3.9,WL4
AT4G18710|ATSK21,BIN2,DWF12,SK21,UCU1
AT4G18730|RPL16B
AT4G18750|DOT4
AT4G18760|AtRLP51,RLP51,SNC2
AT4G18770|AtMYB98,MYB98
AT4G18780|ATCESA8,CESA8,IRX1,LEW2
AT4G18790|ATNRAMP5,NRAMP5
AT4G18800|ATHSGBP,ATRAB11B,ATRABA1D,RABA1d
AT4G18830|ATOFP5,OFP5
AT4G18880|AT-HSFA4A,HSF
AT4G18890|BEH3
AT4G18910|ATNLM2,NIP1;2,NLM2
AT4G18960|AG
AT4G18980|AtS40-3
AT4G18990|XTH29
AT4G19000|ATIWS2,IWS2
AT4G19003|VPS25
AT4G19020|CMT2
AT4G19030|ATNLM1,AT-NLM1,NIP1;1,NLM1
AT4G19035|LCR7
AT4G19038|LCR15
AT4G19040|EDR2
AT4G19100|PAM68
AT4G19112|CPuORF25
AT4G19120|ERD3
AT4G19170|CCD4,NCED4
AT4G19180|APY7,AtAPY7
AT4G19185|UMAMIT2
AT4G19210|ABCE2,ATRLI2,RLI2
AT4G19230|CYP707A1
AT4G19350|EMB3006
AT4G19490|ATVPS54,VPS54
AT4G19540|INDH,INDL
AT4G19560|CYCT1;2
AT4G19600|CYCT1;4
AT4G19640|ARA7,ARA-7,ATRAB5B,ATRABF2B,ATRAB-F2B,RABF2B,RAB-F2B
AT4G19660|ATNPR4,NPR4
AT4G19700|AtILP,BOI,ILP,RING
AT4G19710|AK-HSDH
AT4G19810|ChiC
AT4G19840|ATPP2-A1,ATPP2A-1,PP2-A1
AT4G19850|ATPP2-A2,PP2A2,PP2-A2
AT4G19905|LCR38
AT4G19960|ATKUP9,HAK9,KT9,KUP9
AT4G19990|FRS1
AT4G20010|OSB2,PTAC9
AT4G20020|MORF1
AT4G20050|QRT3
AT4G20060|EMB1895
AT4G20070|AAH,ATAAH
AT4G20090|EMB1025
AT4G20110|BP80-3;1,VSR3;1,VSR7
AT4G20130|PTAC14,TAC14
AT4G20140|GSO1
AT4G20170|GALS3
AT4G20210|TPS08
AT4G20235|CYP71A28
AT4G20240|CYP71A27
AT4G20260|ATPCAP1,MDP25,PCAP1
AT4G20270|BAM3
AT4G20280|TAF11
AT4G20360|ATRAB8D,ATRABE1B,RABE1b
AT4G20370|TSF
AT4G20380|LSD1
AT4G20400|JMJ14,PKDM7B
AT4G20410|GAMMA-SNAP,GSNAP
AT4G20440|smB
AT4G20740|EMB3131
AT4G20780|CML42
AT4G20850|TPP2
AT4G20870|ATFAH2,FAH2
AT4G20890|TUB9
AT4G20900|MS5,TDM1
AT4G20910|CRM2,HEN1
AT4G20940|GHR1
AT4G20960|PyrD
AT4G20990|ACA4,ATACA4
AT4G21050|AtDOF4.4,DOF4.4
AT4G21060|AtGALT2,GALT2
AT4G21070|ATBRCA1,BRCA1
AT4G21080|AtDOF4.5,DOF4.5
AT4G21090|ATMFDX2,MFDX2
AT4G21100|DDB1B
AT4G21120|AAT1,CAT1
AT4G21130|EMB2271
AT4G21150|HAP6,RPN2
AT4G21160|AGD12,ZAC
AT4G21180|ATERDJ2B
AT4G21190|emb1417
AT4G21200|ATGA2OX8,GA2OX8
AT4G21210|ATRP1,RP1
AT4G21220|AtLpxD2,LpxD2
AT4G21230|CRK27
AT4G21270|ATK1,KATA,KATAP
AT4G21280|PSBQ,PSBQ-1,PSBQA
AT4G21320|HSA32
AT4G21326|ATSBT3.12,SBT3.12
AT4G21330|DYT1
AT4G21350|B80,PUB8
AT4G21380|ARK3,RK3
AT4G21390|B120
AT4G21400|CRK28
AT4G21410|CRK29
AT4G21430|B160
AT4G21440|ATM4,ATMYB102,MYB102
AT4G21470|ATFMN/FHY,FMN/FHY
AT4G21480|STP12
AT4G21490|NDB3
AT4G21510|AtFBS2,FBS2
AT4G21530|APC4
AT4G21534|SPHK2
AT4G21540|SPHK1
AT4G21550|VAL3
AT4G21560|VPS28,VPS28-1
AT4G21585|ENDO4
AT4G21590|ENDO3
AT4G21600|ENDO5
AT4G21610|LOL2
AT4G21670|ATCPL1,CPL1,FRY2,RCF2,SHI4
AT4G21680|AtNPF7.2,NPF7.2,NRT1.8
AT4G21710|EMB1989,NRPB2,RPB2
AT4G21750|ATML1
AT4G21760|BGLU47
AT4G21790|ATTOM1,TOM1
AT4G21800|QQT2
AT4G21810|DER2.1
AT4G21830|ATMSRB7,MSRB7
AT4G21840|ATMSRB8,MSRB8
AT4G21850|ATMSRB9,MSRB9
AT4G21860|MSRB2
AT4G21900|PRORP3
AT4G21940|CPK15
AT4G21960|PRXR1
AT4G21980|APG8A,ATG8A
AT4G21990|APR3,ATAPR3,PRH26,PRH-26
AT4G22010|sks4
AT4G22070|ATWRKY31,WRKY31
AT4G22100|BGLU3
AT4G22130|SRF8
AT4G22140|EBS
AT4G22150|PUX3
AT4G22200|AKT2,AKT2/3,AKT3,KT2/3
AT4G22220|ATISU1,ISU1
AT4G22260|IM,IM1,PTOX
AT4G22270|ATMRB1,MRB1
AT4G22300|SOBER1
AT4G22330|ATCES1
AT4G22340|CDS2
AT4G22540|ORP2A
AT4G22550|LPPbeta
AT4G22570|APT3
AT4G22592|CPuORF27
AT4G22620|SAUR34
AT4G22670|AtHip1,HIP1,TPR11
AT4G22680|AtMYB85,MYB85
AT4G22690|CYP706A1
AT4G22700|LBD32
AT4G22710|CYP706A2
AT4G22745|MBD1
AT4G22753|ATSMO1-3,SMO1-3
AT4G22756|ATSMO1-2,SMO1-2
AT4G22770|AHL2
AT4G22780|ACR7
AT4G22810|AHL24
AT4G22880|ANS,LDOX,TDS4,TT18
AT4G22890|PGR5-LIKE
AT4G22910|CCS52A1,FZR2
AT4G22920|ATNYE1,NYE1,SGR
AT4G22930|DHOASE,PYR4
AT4G22950|AGL19,GL19
AT4G22970|AESP,ESP,RSW4
AT4G23010|ATUTR2,UTR2
AT4G23020|TRM11
AT4G23060|IQD22
AT4G23070|ATRBL7,RBL7
AT4G23100|ATECS1,AtGSH1,CAD2,GSH1,GSHA,PAD2,RML1
AT4G23130|CRK5,RLK6
AT4G23140|CRK6
AT4G23150|CRK7
AT4G23160|CRK8
AT4G23170|CRK9,EP1
AT4G23180|CRK10,RLK4
AT4G23190|AT-RLK3,CRK11
AT4G23200|CRK12
AT4G23210|CRK13
AT4G23220|CRK14
AT4G23230|CRK15
AT4G23240|CRK16
AT4G23250|CRK17,DUF26-21,EMB1290,RKC1
AT4G23260|CRK18
AT4G23270|CRK19
AT4G23280|CRK20
AT4G23290|CRK21
AT4G23300|CRK22
AT4G23310|CRK23
AT4G23320|CRK24
AT4G23400|PIP1;5,PIP1D
AT4G23410|TET5
AT4G23430|AtTic32-IVa,Tic32-IVa
AT4G23450|AIRP1,AtAIRP1
AT4G23496|SP1L5
AT4G23550|ATWRKY29,WRKY29
AT4G23570|SGT1A
AT4G23600|CORI3,JR2
AT4G23630|BTI1,RTNLB1
AT4G23640|ATKT3,KUP4,TRH1
AT4G23650|CDPK6,CPK3
AT4G23660|AtPPT1,PPT1
AT4G23690|AtDIR6,DIR6
AT4G23700|ATCHX17,CHX17
AT4G23710|VAG2,VATG2,VHA-G2
AT4G23750|CRF2,TMO3
AT4G23790|TBL24
AT4G23800|3xHMG-box2
AT4G23810|ATWRKY53,WRKY53
AT4G23850|LACS4
AT4G23890|CRR31,NdhS
AT4G23920|ATUGE2,UGE2
AT4G23940|ARC1,FtsHi1
AT4G23980|ARF9
AT4G23990|ATCSLG3,CSLG3
AT4G24000|ATCSLG2,CSLG2
AT4G24010|ATCSLG1,CSLG1
AT4G24020|NLP7
AT4G24040|ATTRE1,TRE1
AT4G24080|ALL1
AT4G24120|ATYSL1,YSL1
AT4G24150|AtGRF8,GRF8
AT4G24180|ATTLP1,TLP1
AT4G24190|AtHsp90-7,AtHsp90.7,HSP90.7,SHD
AT4G24210|SLY1
AT4G24220|5[beta]-StR,AWI31,VEP1
AT4G24230|ACBP3
AT4G24240|ATWRKY7,WRKY7
AT4G24250|ATMLO13,MLO13
AT4G24260|ATGH9A3,GH9A3,KOR3
AT4G24270|EMB140
AT4G24280|cpHsc70-1
AT4G24390|AFB4
AT4G24400|ATCIPK8,CIPK8,PKS11,SnRK3.13
AT4G24450|ATGWD2,GWD3,PWD
AT4G24460|CLT2
AT4G24470|GATA25,TIFY1,ZIM
AT4G24490|ATRGTA1,RGTA1
AT4G24500|SIC
AT4G24510|CER2,VC2,VC-2
AT4G24520|AR1,ATR1
AT4G24540|AGL24
AT4G24550|AP4M
AT4G24560|UBP16
AT4G24570|DIC2
AT4G24580|REN1
AT4G24620|PGI,PGI1
AT4G24640|APPB1
AT4G24650|ATIPT4,IPT4
AT4G24660|ATHB22,HB22,MEE68,ZHD2
AT4G24670|TAR2
AT4G24680|MOS1
AT4G24690|AtNBR1,NBR1
AT4G24740|AFC2,AME1,FC2
AT4G24770|ATRBP31,ATRBP33,CP31,RBP31
AT4G24800|ECIP1
AT4G24890|ATPAP24,PAP24
AT4G24900|TTL
AT4G24940|AT-SAE1-1,ATSAE1A,SAE1A
AT4G24960|ATHVA22D,HVA22D
AT4G24972|TPD1
AT4G24980|UMAMIT16-psi
AT4G24990|ATGP4
AT4G25000|AMY1,ATAMY1
AT4G25010|AtSWEET14,SWEET14
AT4G25050|ACP4
AT4G25080|CHLM
AT4G25100|ATFSD1,FSD1
AT4G25110|AtMC2,AtMCP1c,MC2,MCP1c
AT4G25120|ATSRS2,SRS2
AT4G25130|MSRA4,PMSR4
AT4G25140|OLE1,OLEO1
AT4G25200|ATHSP23.6-MITO,HSP23.6-MITO
AT4G25220|AtG3Pp2,G3Pp2,RHS15
AT4G25230|RIN2
AT4G25240|SKS1
AT4G25270|OTP70
AT4G25320|AHL3
AT4G25340|ATFKBP53,FKBP53
AT4G25350|SHB1
AT4G25360|TBL18
AT4G25380|AtSAP10,SAP10
AT4G25420|AT2301,ATGA20OX1,GA20OX1,GA5
AT4G25430|TRM23
AT4G25434|ATNUDT10,NUDT10
AT4G25440|ZFWD1
AT4G25450|ABCB28,ATNAP8,NAP8
AT4G25470|ATCBF2,CBF2,DREB1C,FTQ4
AT4G25480|ATCBF3,CBF3,DREB1A
AT4G25490|ATCBF1,CBF1,DREB1B
AT4G25500|At-RS40,ATRSP35,ATRSP40,AT-SRP40,RS40,RSP35
AT4G25515|SLK3
AT4G25520|SLK1
AT4G25540|ATMSH3,MSH3
AT4G25560|AtMYB18,LAF1,MYB18
AT4G25570|ACYB-2
AT4G25630|ATFIB2,FIB2
AT4G25640|ATDTX35,DTX35,FFT
AT4G25650|ACD1-LIKE,PTC52,TIC55-IV
AT4G25692|CPuORF13
AT4G25700|B1,BCH1,BETA-OHASE,chy1
AT4G25720|ATQC,QC,QCT
AT4G25750|ABCG4
AT4G25760|ATGDU2,GDU2
AT4G25810|XTH23,XTR6
AT4G25820|ATXTH14,XTH14,XTR9
AT4G25840|GPP1
AT4G25850|ORP4B
AT4G25860|ORP4A
AT4G25880|APUM6,PUM6
AT4G25910|ATCNFU3,NFU3
AT4G25950|VATG3
AT4G25960|ABCB2,PGP2
AT4G25970|PSD3
AT4G25990|CIL
AT4G26000|PEP
AT4G26050|PIRL8
AT4G26070|ATMEK1,MEK1,MKK1,NMAPKK
AT4G26080|ABI1,AtABI1
AT4G26090|RPS2
AT4G26100|CK1,CKL1
AT4G26110|ATNAP1;1,NAP1;1
AT4G26140|BGAL12
AT4G26150|CGA1,GATA22,GNL
AT4G26160|ACHT1
AT4G26180|CoAc2
AT4G26200|ACCS7,ACS7,ATACS7
AT4G26220|CCoAOMT7
AT4G26250|AtGolS6,GolS6
AT4G26260|MIOX4
AT4G26270|PFK3
AT4G26300|emb1027
AT4G26320|AGP13
AT4G26330|ATSBT3.18,UNE17
AT4G26430|CSN6B
AT4G26455|AtWIP1,WIP1
AT4G26466|LRE
AT4G26500|ATSUFE,CPSUFE,EMB1374,SUFE1
AT4G26510|UKL4
AT4G26520|AtFBA7,FBA7
AT4G26530|AtFBA5,FBA5
AT4G26560|CBL7
AT4G26570|ATCBL3,CBL3
AT4G26590|ATOPT5,OPT5
AT4G26610|AGC1-2,D6PKL1
AT4G26640|AtWRKY20,WRKY20
AT4G26690|GDPDL3,GPDL2,MRH5,SHV3
AT4G26700|ATFIM1,FIM1
AT4G26720|PPX1,PPX-1
AT4G26740|AtCLO1,ATPXG1,ATS1,CLO1
AT4G26750|EXT-like,LIP5
AT4G26760|MAP65-2
AT4G26780|AR192,MGE2
AT4G26840|ATSUMO1,SUM1,SUMO,SUMO1
AT4G26850|VTC2
AT4G26890|MAPKKK16
AT4G26900|AT-HF,HISN4
AT4G26970|ACO2
AT4G27000|ATRBP45C
AT4G27010|EMB2788
AT4G27030|FAD4,FADA
AT4G27040|VPS22
AT4G27060|CN,SPR2,TOR1
AT4G27070|TSB2
AT4G27080|ATPDI7,ATPDIL5-4,PDI7,PDIL5-4
AT4G27110|COBL11
AT4G27140|AT2S1,SESA1
AT4G27150|AT2S2,SESA2
AT4G27180|ATK2,KATB
AT4G27230|HTA2
AT4G27260|GH3.5,WES1
AT4G27310|BBX28
AT4G27320|ATPHOS34,PHOS34
AT4G27370|ATVIIIB,VIIIB
AT4G27410|ANAC072,RD26
AT4G27430|CIP7
AT4G27440|PORB
AT4G27460|CBSX5
AT4G27470|ATRMA3,RMA3
AT4G27490|RRP41L
AT4G27500|PPI1
AT4G27520|AtENODL2,ENODL2
AT4G27540|PRA1.H
AT4G27550|ATTPS4,TPS4
AT4G27600|NARA5
AT4G27630|GTG2
AT4G27650|PEL1
AT4G27670|HSP21
AT4G27690|VPS26B
AT4G27710|CYP709B3
AT4G27730|ATOPT6,OPT6
AT4G27750|ISI1
AT4G27760|FEY,FEY3
AT4G27780|ACBP2,AtACBP2
AT4G27800|PPH1,TAP38
AT4G27820|BGLU9
AT4G27830|AtBGLU10,BGLU10
AT4G27860|MEB1
AT4G27910|ATX4,SDG16
AT4G27920|PYL10,RCAR4
AT4G27940|ATMTM1,MTM1
AT4G27950|CRF4
AT4G27960|UBC9
AT4G27970|SLAH2
AT4G27990|ATYLMG1-2,YLMG1-2
AT4G28010|RPF5
AT4G28040|UMAMIT33
AT4G28050|TET7
AT4G28110|AtMYB41,MYB41
AT4G28190|ULT,ULT1
AT4G28210|EMB1923
AT4G28220|NDB1
